9,1,3
11,2,6
12,4,14
13,5,15
16,7,19
21,8,23
22,10,25
27,17,29
28,18,31
33,20,32
37,24,34
39,26,42
47,30,45
51,35,46
52,36,55
53,38,62
61,40,65
64,41,67
73,43,71
74,44,75
77,48,80
79,49,84
83,50,89
85,54,91
87,56,92
88,57,94
93,58,106
101,59,108
102,60,110
103,63,111
105,66,113
107,68,114
112,69,115
122,70,117
123,72,119
124,76,128
125,78,131
129,81,132
133,82,142
134,86,143
136,90,152
140,95,153
141,96,155
145,97,156
146,98,161
147,99,172
149,100,175
150,104,180
151,109,184
154,116,189
157,118,191
158,120,192
160,121,197
163,126,202
164,127,204
165,130,207
167,135,212
168,137,222
170,138,223
171,139,226
177,144,227
178,148,230
179,159,234
183,162,244
185,166,246
186,169,248
188,173,249
190,174,252
193,176,253
195,181,256
198,182,257
200,187,260
201,194,263
205,196,265
209,199,267
211,203,269
213,206,275
214,208,278
215,210,279
216,217,280
224,218,281
225,219,282
229,220,283
233,221,285
235,228,288
237,231,292
242,232,295
245,236,298
250,238,303
251,239,307
258,240,310
259,241,311
264,243,313
266,247,314
270,254,316
274,255,319
276,261,320
289,262,323
293,268,324
294,271,326
297,272,330
306,273,331
312,277,337
317,284,339
321,286,341
325,287,342
327,290,344
332,291,345
334,296,348
335,299,352
336,300,353
340,301,357
346,302,362
347,304,363
350,305,365
351,308,366
356,309,372
358,315,373
360,318,377
367,322,378
368,328,381
370,329,383
371,333,388
375,338,389
379,343,391
382,349,393
384,354,395
394,355,396
399,359,397
400,361,398
402,364,404
407,369,406
409,374,408
410,376,413
411,380,415
412,385,416
414,386,418
417,387,419
420,390,421
422,392,426
423,401,430
428,403,433
429,405,434
435,424,436
439,425,437
440,427,442
441,431,446
443,432,448
449,438,450
451,444,452
455,445,457
456,447,459
458,453,461
460,454,465
473,462,469
477,463,471
482,464,479
483,466,484
485,467,486
500,468,490
506,470,493
510,472,494
518,474,495
525,475,497
527,476,499
528,478,505
532,480,508
534,481,514
538,487,516
543,488,519
547,489,520
550,491,521
551,492,522
556,496,523
557,498,529
558,501,530
560,502,535
564,503,539
569,504,540
576,507,541
577,509,542
578,511,544
579,512,546
583,513,548
592,515,549
597,517,552
600,524,554
604,526,562
608,531,563
610,533,565
612,536,566
616,537,567
618,545,568
621,553,580
625,555,581
628,559,585
631,561,587
633,570,588
640,571,589
645,572,590
649,573,591
650,574,593
651,575,594
653,582,595
655,584,596
660,586,598
665,601,599
666,607,602
670,614,603
672,615,605
674,626,606
676,627,609
678,629,611
679,630,613
683,632,617
689,637,619
692,641,620
693,643,622
695,646,623
696,647,624
697,648,634
699,656,635
705,658,636
714,659,638
717,661,639
721,669,642
722,673,644
725,675,652
727,684,654
729,685,657
735,686,662
737,687,663
739,690,664
746,691,667
753,694,668
754,703,671
755,715,677
757,716,680
758,718,681
759,720,682
760,724,688
765,728,698
766,731,700
771,732,701
773,733,702
777,734,704
781,736,706
782,738,707
783,742,708
786,743,709
787,747,710
789,748,711
790,756,712
793,764,713
794,768,719
796,770,723
808,775,726
812,778,730
814,779,740
815,784,741
817,788,744
818,791,745
825,792,749
829,801,750
833,803,751
840,804,752
847,809,761
848,810,762
850,816,763
851,820,767
852,821,769
855,823,772
861,826,774
871,827,776
873,830,780
874,834,785
880,835,795
890,836,797
893,837,798
895,838,799
900,839,800
903,843,802
904,845,805
912,854,806
913,856,807
918,857,811
920,862,813
921,863,819
922,864,822
926,866,824
928,868,828
931,877,831
942,881,832
943,882,841
946,883,842
951,885,844
952,886,846
960,889,849
965,891,853
966,892,858
972,894,859
974,896,860
979,897,865
981,901,867
982,905,869
986,906,870
989,907,872
990,908,875
996,910,876
999,911,878
0,914,879
0,924,884
0,925,887
0,929,888
0,932,898
0,937,899
0,939,902
0,944,909
0,945,915
0,947,916
0,948,917
0,949,919
0,953,923
0,954,927
0,955,930
0,956,933
0,957,934
0,958,935
0,961,936
0,963,938
0,969,940
0,977,941
0,980,950
0,984,959
0,987,962
0,988,964
0,991,967
0,995,968
0,997,970
0,1000,971
0,0,973
0,0,975
0,0,976
0,0,978
0,0,983
0,0,985
0,0,992
0,0,993
0,0,994
0,0,998
