6, 12, -49, 10, 2.432e-06
6, 13, -49, 12, 3.946e-06
6, 14, -49, 12, 4.279e-06
6, 15, -49, 16, 4.248e-06
6, 16, -49, 16, 4.317e-06
6, 17, -49, 19, 5.533e-06
6, 18, -49, 26, 7.418e-06
6, 19, -49, 26, 7.09e-06
6, 20, -49, 26, 7.37e-06
6, 21, -49, 36, 9.44e-06
6, 22, -49, 44, 1.5282e-05
6, 23, -119, 54, 1.2467e-05
6, 24, -126, 70, 2.038e-05
6, 25, -126, 78, 1.6846e-05
6, 26, -126, 78, 1.6753e-05
6, 27, -126, 97, 1.8659e-05
6, 28, -126, 108, 2.1473e-05
6, 29, -126, 108, 2.2493e-05
6, 30, -126, 130, 2.7513e-05
